1413815114.390440;m3-30;�1;7.143737E-2;-9.782951E-1
1413815114.391389;m3-26;Acc;-7.624484E-2;3.8617518E-2;-9.872222E-1
1413815114.391838;m3-30;Acc;-1.18070096E-1;7.4413925E-2;-9.782951E-1
1413815114.393799;m3-24;�9.85327E-1
1413815114.394810;m3-24;Acc;-6.41746E-2;3.4555554E-2;-9.892762E-1
1413815114.395873;m3-26;Acc;-8.020561E-2;3.663713E-2;-9.9217314E-1
1413815114.396311;m3-30;Acc;-1.18070096E-1;7.044518E-2;-9.7928727E-1
1413815114.396884;m3-27;�Acc;-7.387645E-2;9.983304E-3;-9.9333876E-1
1413815114.397427;m3-25;�5.7266656E-2;1.738452E-2;-9.8580456E-1
1413815114.398104;m3-25;Acc;-6.033451E-2;1.6361902E-2;-9.909177E-1
1413815114.398650;m3-27;Acc;-7.5873114E-2;1.2978296E-2;-9.8934543E-1
1413815114.399012;m3-24;Acc;-6.812381E-2;3.653016E-2;-9.9026346E-1
1413815114.399333;m3-22;4.6981253E-2;2.2990825E-2;-9.8760587E-1
1413815114.399732;m3-22;Acc;-3.9984044E-2;2.4990028E-2;-9.866063E-1
1413815114.400293;m3-23;�Acc;-8.633103E-2;-2.877701E-2;-9.890765E-1
1413815114.400936;m3-31;��6VZ���-9.8408926E-1
1413815114.401452;m3-31;Acc;-1.3987055E-1;9.990754E-3;-9.870865E-1
1413815114.402138;m3-26;Acc;-7.426446E-2;3.960771E-2;-9.951437E-1
1413815114.402711;m3-27;Acc;-7.786977E-2;1.0981634E-2;-9.883471E-1
1413815114.403077;m3-25;Acc;-5.8289275E-2;1.5339282E-2;-9.929629E-1
1413815114.403393;m3-22;Acc;-3.798484E-2;2.798883E-2;-9.8960507E-1
1413815114.403846;m3-23;Acc;-9.166011E-2;-2.7711196E-2;-9.869449E-1
1413815114.404296;m3-28;�g�f�4056E-3;-9.874556E-1
1413815114.404606;m3-28;Acc;-7.82512E-2;-8.384056E-3;-9.9118185E-1
1413815114.405810;m3-30;Acc;-1.22038834E-1;6.746863E-2;-9.763107E-1
1413815114.406650;m3-24;Acc;-6.713651E-2;3.9492063E-2;-9.873016E-1
1413815114.407171;m3-25;Acc;-5.8289275E-2;1.4316664E-2;-9.9194026E-1
1413815114.408034;m3-31;Acc;-1.3987055E-1;7.992603E-3;-9.860874E-1
1413815114.408461;m3-28;Acc;-8.011432E-2;-1.024718E-2;-9.893187E-1
1413815114.408877;m3-29;�Acc;-6.274382E-2;2.2263937E-2;-1.0008651
1413815114.409187;m3-29;Acc;-6.375582E-2;2.2263937E-2;-9.9378115E-1
1413815114.409520;m3-29;Acc;-6.375582E-2;2.0239942E-2;-9.9175715E-1
1413815114.410069;m3-30;Acc;-1.2402321E-1;6.945299E-2;-9.822638E-1
1413815114.410715;m3-26;Acc;-7.8225225E-2;3.168617E-2;-9.842516E-1
1413815114.412127;m3-23;Acc;-9.592337E-2;-2.877701E-2;-9.8587906E-1
1413815114.412937;m3-30;Acc;-1.22038834E-1;6.746863E-2;-9.753185E-1
1413815114.413690;m3-26;Acc;-7.327426E-2;3.267636E-2;-9.911829E-1
1413815114.414203;m3-27;Acc;-7.5873114E-2;1.3976626E-2;-9.883471E-1
1413815114.414682;m3-24;Acc;-7.0098415E-2;3.850476E-2;-9.9026346E-1
1413815114.415401;m3-25;Acc;-5.6244038E-2;1.738452E-2;-9.827367E-1
1413815114.415979;m3-22;Acc;-4.1983247E-2;2.598963E-2;-9.836075E-1
1413815114.416407;m3-23;Acc;-9.6989185E-2;-2.6645381E-2;-9.880107E-1
1413815114.417713;m3-27;Acc;-8.286142E-2;1.2978296E-2;-9.913421E-1
1413815114.418249;m3-24;Acc;-6.812381E-2;4.2453967E-2;-9.9026346E-1
1413815114.418968;m3-22;Acc;-4.1983247E-2;2.3990426E-2;-9.8760587E-1
1413815114.419793;m3-31;Acc;-1.4086963E-1;1.0989829E-2;-9.870865E-1
1413815114.420204;m3-28;Acc;-7.918276E-2;-1.024718E-2;-9.9118185E-1
1413815114.420729;m3-30;Acc;-1.18070096E-1;6.647644E-2;-9.782951E-1
1413815114.421297;m3-26;Acc;-7.8225225E-2;3.5646938E-2;-9.941535E-1
1413815114.421722;m3-27;Acc;-7.5873114E-2;9.983304E-3;-9.8934543E-1
1413815114.422187;m3-24;Acc;-6.31873E-2;3.653016E-2;-9.892762E-1
1413815114.422814;m3-25;Acc;-6.033451E-2;1.6361902E-2;-9.8375934E-1
1413815114.423389;m3-22;Acc;-4.2982846E-2;2.4990028E-2;-9.9160427E-1
1413815114.423976;m3-23;Acc;-9.2725925E-2;-2.6645381E-2;-9.9014235E-1
1413815114.424469;m3-31;Acc;-1.378724E-1;1.498613E-2;-9.8309016E-1
1413815114.424795;m3-31;Acc;-1.3687332E-1;1.5985206E-2;-9.860874E-1
